,tournament,city,country,date,tournament_type,discipline,round,winner,nb_sets,retired,game_1_score,game_2_score,game_3_score,team_one_player_one,team_one_player_two,team_two_player_one,team_two_player_two,team_one_player_one_nationality,team_one_player_two_nationality,team_two_player_one_nationality,team_two_player_two_nationality,team_one_total_points,team_two_total_points,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores,team_one_nationalities,team_two_nationalities
737,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,18-09-2018,BWF Tour Super 100,MD,Qualification quarter final,1,2,False,21-12,21-15,,Kenas Adi Haryanto,Agripinna Prima Rahmanto Putra,I Putu Pande Sheva Brahmatya Putra,I Putu Pande Sheva Brahmatya Putra,INA,INA,INA,INA,42,27,6,5,5,0,6,3,4,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '6-1', '7-1', '7-2', '8-2', '9-2', '9-3', '10-3', '11-3', '11-4', '11-5', '12-5', '13-5', '14-5', '15-5', '16-5', '16-6', '16-7', '17-7', '18-7', '18-8', '19-8', '19-9', '20-9', '20-10', '20-11', '20-12', '21-12']",6.0,5.0,1.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '6-1', '7-1', '7-2', '8-2', '9-2', '9-3', '10-3', '10-4', '11-4', '12-4', '13-4', '13-5', '14-5', '14-6', '14-7', '14-8', '15-8', '15-9', '16-9', '17-9', '18-9', '18-10', '19-10', '19-11', '19-12', '19-13', '19-14', '19-15', '20-15', '21-15']",,,,,[],INA,INA
738,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,18-09-2018,BWF Tour Super 100,MD,Qualification quarter final,1,2,False,21-15,21-11,,Yu Chieh Lin,Yuan Cheng Wu,Dimas Satria Aji,Dimas Satria Aji,TPE,TPE,INA,INA,42,26,6,3,4,0,3,3,1,0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '6-4', '6-5', '6-6', '7-6', '8-6', '8-7', '9-7', '9-8', '10-8', '11-8', '12-8', '12-9', '13-9', '14-9', '15-9', '15-10', '15-11', '15-12', '16-12', '17-12', '18-12', '18-13', '18-14', '19-14', '19-15', '20-15', '21-15']",4.0,2.0,3.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '4-2', '5-2', '6-2', '7-2', '7-3', '8-3', '8-4', '9-4', '10-4', '11-4', '11-5', '12-5', '13-5', '13-6', '14-6', '14-7', '15-7', '15-8', '16-8', '17-8', '17-9', '18-9', '19-9', '20-9', '20-10', '20-11', '21-11']",,,,,[],TPE,INA
739,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,18-09-2018,BWF Tour Super 100,MD,Qualification quarter final,1,3,False,6-21,23-21,21-17,Rinov Rivaldy,Yeremia Erich Yoche Yacob,Leo Rolly Carnando,Leo Rolly Carnando,INA,INA,INA,INA,50,59,6,8,4,4,1,8,0,2,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '2-5', '2-6', '2-7', '2-8', '2-9', '2-10', '2-11', '3-11', '3-12', '3-13', '4-13', '4-14', '5-14', '5-15', '5-16', '5-17', '5-18', '5-19', '5-20', '6-20', '6-21']",3.0,4.0,1.0,2.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '5-3', '5-4', '6-4', '7-4', '7-5', '8-5', '8-6', '9-6', '9-7', '10-7', '10-8', '11-8', '11-9', '12-9', '12-10', '12-11', '13-11', '13-12', '14-12', '15-12', '15-13', '15-14', '15-15', '15-16', '16-16', '16-17', '17-17', '17-18', '18-18', '18-19', '19-19', '19-20', '20-20', '20-21', '21-21', '22-21', '23-21']",6.0,4.0,3.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '4-6', '5-6', '5-7', '6-7', '6-8', '7-8', '8-8', '8-9', '8-10', '8-11', '8-12', '9-12', '10-12', '10-13', '11-13', '12-13', '12-14', '13-14', '14-14', '15-14', '16-14', '17-14', '18-14', '18-15', '19-15', '20-15', '20-16', '20-17', '21-17']",INA,INA
740,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,18-09-2018,BWF Tour Super 100,MD,Qualification quarter final,2,3,False,21-16,18-21,19-21,Rafiddias Akhdan Nugroho,Yohanes Rendy Sugiarto,Altof Barriq,Altof Barriq,INA,INA,INA,INA,58,58,3,4,2,5,3,2,2,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '7-4', '7-5', '8-5', '8-6', '8-7', '9-7', '10-7', '10-8', '10-9', '11-9', '11-10', '12-10', '13-10', '13-11', '14-11', '14-12', '15-12', '16-12', '16-13', '17-13', '17-14', '17-15', '18-15', '19-15', '20-15', '20-16', '21-16']",3.0,4.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '4-6', '5-6', '5-7', '5-8', '6-8', '7-8', '7-9', '7-10', '7-11', '7-12', '8-12', '8-13', '9-13', '10-13', '10-14', '10-15', '11-15', '11-16', '11-17', '12-17', '13-17', '14-17', '14-18', '15-18', '15-19', '16-19', '17-19', '18-19', '18-20', '18-21']",3.0,4.0,0.0,4.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '3-5', '4-5', '4-6', '4-7', '4-8', '4-9', '5-9', '6-9', '6-10', '7-10', '8-10', '8-11', '8-12', '9-12', '9-13', '10-13', '11-13', '11-14', '12-14', '13-14', '13-15', '13-16', '14-16', '14-17', '15-17', '15-18', '15-19', '16-19', '16-20', '17-20', '18-20', '19-20', '19-21']",INA,INA
741,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,19-09-2018,BWF Tour Super 100,MD,Round of 32,2,2,False,29-30,19-21,,Tarun Kona,Khim Wah Lim,Reinard Dhanriano,Reinard Dhanriano,IND,IND,INA,INA,48,51,4,5,4,11,3,4,4,10,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '7-5', '7-6', '7-7', '8-7', '9-7', '9-8', '9-9', '9-10', '9-11', '10-11', '10-12', '10-13', '11-13', '11-14', '12-14', '13-14', '14-14', '14-15', '15-15', '15-16', '16-16', '17-16', '17-17', '17-18', '17-19', '18-19', '18-20', '19-20', '20-20', '21-20', '21-21', '21-22', '22-22', '23-22', '23-23', '24-23', '24-24', '24-25', '25-25', '25-26', '26-26', '26-27', '27-27', '27-28', '28-28', '28-29', '29-29', '29-30']",4.0,5.0,0.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '8-3', '8-4', '8-5', '8-6', '8-7', '8-8', '9-8', '9-9', '10-9', '10-10', '11-10', '11-11', '12-11', '12-12', '13-12', '13-13', '13-14', '14-14', '15-14', '15-15', '15-16', '16-16', '16-17', '17-17', '17-18', '18-18', '18-19', '19-19', '19-20', '19-21']",,,,,[],IND,INA
742,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,19-09-2018,BWF Tour Super 100,MD,Round of 32,2,2,False,18-21,17-21,,Muhammad Fachrikar,Reza Dwicahya Purnama,Mek Narongrit,Mek Narongrit,INA,INA,THA,THA,35,42,3,6,0,5,3,6,0,2,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '4-3', '5-3', '5-4', '5-5', '6-5', '7-5', '7-6', '8-6', '9-6', '9-7', '10-7', '11-7', '11-8', '12-8', '13-8', '14-8', '14-9', '14-10', '14-11', '14-12', '14-13', '14-14', '15-14', '15-15', '15-16', '15-17', '15-18', '15-19', '16-19', '17-19', '17-20', '18-20', '18-21']",2.0,5.0,0.0,3.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '2-5', '3-5', '3-6', '3-7', '4-7', '4-8', '4-9', '4-10', '4-11', '4-12', '5-12', '5-13', '6-13', '7-13', '7-14', '8-14', '8-15', '9-15', '10-15', '10-16', '11-16', '11-17', '12-17', '13-17', '13-18', '14-18', '15-18', '15-19', '15-20', '16-20', '17-20', '17-21']",,,,,[],INA,THA
743,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,19-09-2018,BWF Tour Super 100,MD,Round of 32,2,2,False,13-21,15-21,,Inkarat Apisuk,Tanupat Viriyangkura,Frengky Wijaya Putra,Frengky Wijaya Putra,THA,THA,INA,INA,28,42,4,4,0,3,2,3,0,2,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '4-4', '4-5', '5-5', '5-6', '6-6', '6-7', '6-8', '7-8', '7-9', '7-10', '7-11', '8-11', '8-12', '9-12', '9-13', '9-14', '9-15', '10-15', '10-16', '10-17', '10-18', '11-18', '11-19', '12-19', '12-20', '13-20', '13-21']",4.0,4.0,0.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '4-6', '5-6', '5-7', '6-7', '6-8', '7-8', '7-9', '8-9', '8-10', '8-11', '9-11', '10-11', '11-11', '12-11', '12-12', '13-12', '13-13', '13-14', '14-14', '14-15', '14-16', '14-17', '14-18', '15-18', '15-19', '15-20', '15-21']",,,,,[],THA,INA
744,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,19-09-2018,BWF Tour Super 100,MD,Round of 32,2,2,False,17-21,14-21,,Irfan Fadhilah,Markis Kido,Sung Hyun Ko,Sung Hyun Ko,INA,INA,KOR,KOR,31,42,6,6,0,2,3,5,0,1,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '4-4', '5-4', '6-4', '6-5', '6-6', '7-6', '8-6', '8-7', '9-7', '10-7', '11-7', '11-8', '11-9', '12-9', '13-9', '13-10', '13-11', '14-11', '14-12', '15-12', '15-13', '15-14', '15-15', '15-16', '16-16', '17-16', '17-17', '17-18', '17-19', '17-20', '17-21']",6.0,6.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7', '2-7', '2-8', '2-9', '2-10', '3-10', '4-10', '5-10', '5-11', '6-11', '7-11', '7-12', '7-13', '7-14', '8-14', '9-14', '10-14', '11-14', '12-14', '13-14', '13-15', '13-16', '13-17', '13-18', '13-19', '14-19', '14-20', '14-21']",,,,,[],INA,KOR
745,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,19-09-2018,BWF Tour Super 100,MD,Round of 32,1,3,False,25-23,16-21,21-12,Keiichiro Matsui,Yoshinori Takeuchi,Ghifari Anandaffa Prihardika,Ghifari Anandaffa Prihardika,JPN,JPN,INA,INA,62,56,6,8,3,7,5,3,2,6,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '4-4', '5-4', '5-5', '5-6', '6-6', '6-7', '7-7', '8-7', '8-8', '9-8', '9-9', '9-10', '10-10', '11-10', '11-11', '12-11', '12-12', '12-13', '12-14', '13-14', '13-15', '13-16', '14-16', '15-16', '15-17', '15-18', '15-19', '16-19', '16-20', '17-20', '18-20', '19-20', '20-20', '21-20', '21-21', '21-22', '22-22', '22-23', '23-23', '24-23', '25-23']",4.0,8.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '4-6', '4-7', '5-7', '6-7', '7-7', '8-7', '8-8', '9-8', '9-9', '9-10', '9-11', '9-12', '9-13', '9-14', '9-15', '9-16', '10-16', '11-16', '12-16', '12-17', '12-18', '13-18', '14-18', '15-18', '15-19', '16-19', '16-20', '16-21']",6.0,2.0,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '4-2', '4-3', '4-4', '5-4', '5-5', '6-5', '6-6', '7-6', '7-7', '8-7', '9-7', '9-8', '10-8', '11-8', '11-9', '11-10', '12-10', '12-11', '13-11', '14-11', '15-11', '15-12', '16-12', '17-12', '18-12', '19-12', '20-12', '21-12']",JPN,INA
746,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,19-09-2018,BWF Tour Super 100,MD,Round of 32,1,2,False,21-14,21-9,,Hendra Aprida Gunawan,Asuro Rizko,Minh Bao,Minh Bao,INA,INA,VIE,VIE,42,23,5,2,3,0,5,2,2,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '9-4', '10-4', '10-5', '10-6', '11-6', '11-7', '11-8', '12-8', '12-9', '12-10', '13-10', '14-10', '15-10', '15-11', '16-11', '17-11', '17-12', '18-12', '19-12', '19-13', '20-13', '20-14', '21-14']",5.0,2.0,1.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '9-4', '10-4', '10-5', '10-6', '11-6', '12-6', '12-7', '13-7', '14-7', '14-8', '15-8', '16-8', '17-8', '18-8', '19-8', '19-9', '20-9', '21-9']",,,,,[],INA,VIE
747,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,19-09-2018,BWF Tour Super 100,MD,Round of 32,2,3,False,21-15,23-25,13-21,Kenas Adi Haryanto,Agripinna Prima Rahmanto Putra,Rian Swastedian,Rian Swastedian,INA,INA,INA,INA,57,61,4,5,2,5,4,3,1,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '11-4', '11-5', '12-5', '13-5', '13-6', '14-6', '14-7', '15-7', '15-8', '15-9', '16-9', '17-9', '17-10', '17-11', '18-11', '18-12', '18-13', '18-14', '19-14', '19-15', '20-15', '21-15']",4.0,5.0,1.0,4.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '4-3', '4-4', '4-5', '4-6', '4-7', '5-7', '5-8', '6-8', '7-8', '7-9', '8-9', '8-10', '9-10', '9-11', '9-12', '10-12', '11-12', '12-12', '13-12', '13-13', '14-13', '14-14', '14-15', '15-15', '16-15', '16-16', '16-17', '17-17', '17-18', '17-19', '18-19', '19-19', '19-20', '20-20', '20-21', '21-21', '22-21', '22-22', '22-23', '23-23', '23-24', '23-25']",4.0,4.0,0.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '5-4', '5-5', '5-6', '5-7', '6-7', '6-8', '6-9', '7-9', '7-10', '7-11', '8-11', '8-12', '8-13', '8-14', '8-15', '9-15', '10-15', '11-15', '12-15', '12-16', '12-17', '12-18', '13-18', '13-19', '13-20', '13-21']",INA,INA
748,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,19-09-2018,BWF Tour Super 100,MD,Round of 32,1,2,False,21-14,21-19,,Nipitphon Phuangphuapet,Nanthakarn Yordphaisong,Viorel Joan Fernando,Viorel Joan Fernando,THA,THA,INA,INA,42,33,6,4,4,0,6,3,1,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '4-2', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '11-4', '11-5', '12-5', '13-5', '13-6', '13-7', '14-7', '15-7', '15-8', '15-9', '15-10', '16-10', '17-10', '18-10', '18-11', '18-12', '19-12', '19-13', '19-14', '20-14', '21-14']",3.0,4.0,3.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '5-2', '6-2', '7-2', '7-3', '7-4', '7-5', '7-6', '8-6', '9-6', '10-6', '10-7', '11-7', '11-8', '12-8', '13-8', '13-9', '14-9', '14-10', '14-11', '15-11', '15-12', '16-12', '16-13', '16-14', '17-14', '17-15', '17-16', '18-16', '18-17', '19-17', '20-17', '20-18', '20-19', '21-19']",,,,,[],THA,INA
749,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,19-09-2018,BWF Tour Super 100,MD,Round of 32,2,3,False,23-21,18-21,19-21,Emanuel Randhy Febryto,Adnan Maulana,Ko-Chi Chang,Ko-Chi Chang,INA,INA,TPE,TPE,60,63,4,5,1,6,4,3,1,2,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '4-4', '5-4', '5-5', '6-5', '7-5', '8-5', '8-6', '8-7', '8-8', '9-8', '9-9', '9-10', '10-10', '10-11', '10-12', '11-12', '11-13', '12-13', '12-14', '13-14', '14-14', '14-15', '14-16', '15-16', '15-17', '16-17', '17-17', '18-17', '19-17', '19-18', '19-19', '19-20', '20-20', '20-21', '21-21', '22-21', '23-21']",3.0,4.0,0.0,3.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '1-6', '2-6', '3-6', '4-6', '4-7', '4-8', '4-9', '4-10', '5-10', '5-11', '6-11', '6-12', '7-12', '8-12', '8-13', '9-13', '10-13', '10-14', '11-14', '12-14', '12-15', '12-16', '13-16', '14-16', '14-17', '14-18', '15-18', '16-18', '16-19', '16-20', '17-20', '18-20', '18-21']",4.0,5.0,0.0,1.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '5-7', '5-8', '5-9', '6-9', '7-9', '8-9', '8-10', '9-10', '9-11', '9-12', '9-13', '10-13', '10-14', '11-14', '11-15', '11-16', '12-16', '13-16', '14-16', '15-16', '15-17', '16-17', '17-17', '18-17', '18-18', '19-18', '19-19', '19-20', '19-21']",INA,TPE
750,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,19-09-2018,BWF Tour Super 100,MD,Round of 32,1,3,False,23-21,19-21,21-18,Muhammad Shohibul Fikri,Bagas Maulana,Chia Hao Lee,Chia Hao Lee,INA,INA,TPE,TPE,63,60,5,6,4,4,5,5,1,2,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '5-4', '5-5', '6-5', '6-6', '7-6', '8-6', '8-7', '8-8', '9-8', '9-9', '9-10', '9-11', '9-12', '9-13', '10-13', '10-14', '11-14', '12-14', '12-15', '12-16', '13-16', '14-16', '14-17', '14-18', '15-18', '16-18', '17-18', '18-18', '19-18', '19-19', '19-20', '20-20', '20-21', '21-21', '22-21', '23-21']",5.0,6.0,0.0,2.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '3-7', '4-7', '4-8', '5-8', '6-8', '7-8', '8-8', '9-8', '9-9', '9-10', '9-11', '9-12', '9-13', '9-14', '10-14', '10-15', '10-16', '11-16', '12-16', '13-16', '14-16', '15-16', '15-17', '15-18', '16-18', '16-19', '17-19', '18-19', '18-20', '19-20', '19-21']",4.0,4.0,3.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '5-3', '6-3', '7-3', '7-4', '7-5', '8-5', '9-5', '10-5', '10-6', '11-6', '11-7', '12-7', '13-7', '13-8', '14-8', '14-9', '14-10', '15-10', '15-11', '16-11', '17-11', '18-11', '18-12', '19-12', '19-13', '19-14', '19-15', '19-16', '20-16', '20-17', '20-18', '21-18']",INA,TPE
751,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,20-09-2018,BWF Tour Super 100,MD,Round of 16,1,3,False,23-21,18-21,21-13,Reinard Dhanriano,Hendra Gustiawan,Masato Takano,Masato Takano,INA,INA,JPN,JPN,62,55,4,4,4,2,4,4,2,1,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '5-3', '5-4', '5-5', '5-6', '6-6', '7-6', '7-7', '8-7', '8-8', '9-8', '10-8', '10-9', '10-10', '11-10', '11-11', '12-11', '12-12', '12-13', '13-13', '13-14', '14-14', '15-14', '15-15', '15-16', '15-17', '15-18', '16-18', '16-19', '17-19', '18-19', '19-19', '20-19', '20-20', '20-21', '21-21', '22-21', '23-21']",2.0,3.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '4-4', '4-5', '5-5', '5-6', '6-6', '6-7', '6-8', '7-8', '7-9', '7-10', '7-11', '8-11', '9-11', '9-12', '10-12', '10-13', '10-14', '11-14', '12-14', '12-15', '12-16', '13-16', '14-16', '14-17', '15-17', '16-17', '16-18', '17-18', '17-19', '18-19', '18-20', '18-21']",4.0,4.0,2.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '6-3', '7-3', '8-3', '9-3', '9-4', '10-4', '11-4', '11-5', '12-5', '12-6', '13-6', '13-7', '13-8', '13-9', '13-10', '14-10', '15-10', '15-11', '16-11', '17-11', '18-11', '18-12', '19-12', '20-12', '20-13', '21-13']",INA,JPN
752,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,20-09-2018,BWF Tour Super 100,MD,Round of 16,2,2,False,17-21,10-21,,Keiichiro Matsui,Yoshinori Takeuchi,Sung Hyun Ko,Sung Hyun Ko,JPN,JPN,KOR,KOR,27,42,3,6,0,3,3,5,0,2,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '3-7', '3-8', '4-8', '5-8', '5-9', '5-10', '5-11', '6-11', '6-12', '7-12', '7-13', '8-13', '9-13', '9-14', '9-15', '9-16', '10-16', '11-16', '12-16', '12-17', '12-18', '13-18', '13-19', '14-19', '15-19', '16-19', '16-20', '17-20', '17-21']",3.0,6.0,0.0,1.0,"['0-0', '1-0', '1-1', '1-2', '1-3', '2-3', '3-3', '4-3', '4-4', '4-5', '5-5', '5-6', '6-6', '6-7', '6-8', '6-9', '6-10', '7-10', '7-11', '7-12', '7-13', '7-14', '7-15', '7-16', '8-16', '8-17', '8-18', '9-18', '9-19', '10-19', '10-20', '10-21']",,,,,[],JPN,KOR
753,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,20-09-2018,BWF Tour Super 100,MD,Round of 16,1,2,False,21-16,21-17,,Frengky Wijaya Putra,Rian Agung Saputro,Mek Narongrit,Mek Narongrit,INA,INA,THA,THA,42,33,5,4,4,0,5,4,1,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '3-5', '4-5', '5-5', '6-5', '6-6', '7-6', '7-7', '7-8', '8-8', '8-9', '9-9', '10-9', '10-10', '11-10', '12-10', '13-10', '13-11', '14-11', '14-12', '14-13', '14-14', '14-15', '15-15', '16-15', '17-15', '18-15', '19-15', '19-16', '20-16', '21-16']",3.0,2.0,3.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '4-2', '4-3', '5-3', '5-4', '6-4', '7-4', '8-4', '8-5', '8-6', '9-6', '9-7', '10-7', '10-8', '11-8', '12-8', '12-9', '12-10', '13-10', '13-11', '14-11', '14-12', '14-13', '15-13', '16-13', '17-13', '17-14', '17-15', '18-15', '19-15', '20-15', '20-16', '20-17', '21-17']",,,,,[],INA,THA
754,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,20-09-2018,BWF Tour Super 100,MD,Round of 16,1,2,False,21-14,21-12,,Nipitphon Phuangphuapet,Nanthakarn Yordphaisong,Altof Barriq,Altof Barriq,THA,THA,INA,INA,42,26,5,3,3,0,5,3,1,0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '3-4', '3-5', '4-5', '5-5', '6-5', '7-5', '7-6', '7-7', '8-7', '8-8', '8-9', '8-10', '9-10', '10-10', '11-10', '12-10', '13-10', '13-11', '14-11', '14-12', '15-12', '16-12', '17-12', '18-12', '19-12', '19-13', '19-14', '20-14', '21-14']",3.0,2.0,2.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '8-3', '9-3', '9-4', '9-5', '10-5', '11-5', '11-6', '11-7', '12-7', '13-7', '13-8', '14-8', '14-9', '15-9', '16-9', '16-10', '17-10', '18-10', '19-10', '19-11', '20-11', '20-12', '21-12']",,,,,[],THA,INA
755,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,20-09-2018,BWF Tour Super 100,MD,Round of 16,2,3,False,21-12,12-21,17-21,Muhammad Shohibul Fikri,Bagas Maulana,Chen Lu,Chen Lu,INA,INA,TPE,TPE,50,54,8,6,1,4,7,3,1,0,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '6-6', '7-6', '8-6', '9-6', '10-6', '11-6', '11-7', '12-7', '12-8', '12-9', '12-10', '13-10', '14-10', '14-11', '14-12', '15-12', '16-12', '17-12', '18-12', '19-12', '20-12', '21-12']",2.0,6.0,0.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '3-7', '4-7', '4-8', '5-8', '5-9', '6-9', '6-10', '7-10', '7-11', '7-12', '7-13', '8-13', '9-13', '9-14', '10-14', '10-15', '10-16', '11-16', '11-17', '11-18', '12-18', '12-19', '12-20', '12-21']",4.0,4.0,0.0,3.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '3-3', '4-3', '4-4', '4-5', '4-6', '5-6', '5-7', '5-8', '5-9', '5-10', '6-10', '6-11', '6-12', '7-12', '8-12', '9-12', '10-12', '10-13', '11-13', '11-14', '11-15', '12-15', '12-16', '12-17', '13-17', '13-18', '14-18', '15-18', '15-19', '15-20', '16-20', '17-20', '17-21']",INA,TPE
756,Bangka Belitung Indonesia Masters 2018,Pangkalpinang,Indonesia,20-09-2018,BWF Tour Super 100,MD,Round of 16,1,3,False,20-22,21-11,21-16,Yu Chieh Lin,Yuan Cheng Wu,Hendra Aprida Gunawan,Hendra Aprida Gunawan,TPE,TPE,INA,INA,62,49,7,6,4,1,4,6,1,1,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '5-3', '5-4', '6-4', '6-5', '6-6', '7-6', '8-6', '9-6', '9-7', '9-8', '10-8', '11-8', '11-9', '11-10', '11-11', '11-12', '11-13', '11-14', '12-14', '13-14', '13-15', '14-15', '15-15', '15-16', '15-17', '16-17', '16-18', '17-18', '18-18', '18-19', '19-19', '20-19', '20-20', '20-21', '20-22']",7.0,2.0,2.0,0.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '8-4', '9-4', '9-5', '10-5', '11-5', '12-5', '12-6', '13-6', '13-7', '14-7', '15-7', '15-8', '16-8', '17-8', '18-8', '19-8', '19-9', '19-10', '20-10', '20-11', '21-11']",7.0,5.0,1.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '5-3', '5-4', '6-4', '6-5', '6-6', '7-6', '8-6', '8-7', '9-7', '9-8', '10-8', '10-9', '11-9', '12-9', '13-9', '13-10', '13-11', '13-12', '13-13', '13-14', '14-14', '14-15', '14-16', '15-16', '16-16', '17-16', '18-16', '19-16', '20-16', '21-16']",TPE,INA
